Path;FileName
E:\eagle\ADV1045BU.mp4;"ADV1045BU - Horizon Cloud on Microsoft Azure Technical Deep Dive.mp4"
E:\eagle\ADV1076BU.mp4;"ADV1076BU - Troubleshooting Your Horizon 7 Deployment.mp4"
E:\eagle\ADV1084BU.mp4;"ADV1084BU - Monitoring Your Horizon Deployments and Users with the Horizon Service.mp4"
E:\eagle\ADV1110BU.mp4;"ADV1110BU - Architecting Workspace ONE The Official Reference Architecture.mp4"
E:\eagle\ADV1111BU.mp4;"ADV1111BU - Architecting Horizon The Official Reference Architecture.mp4"
E:\eagle\ADV1227BU.mp4;"ADV1227BU - Case Study Making It Epic  A Journey to Success.mp4"
E:\eagle\ADV1298BU.mp4;"ADV1298BU - Advantage Admin. How VDI Administrators Can Make Everyone Happy.mp4"
E:\eagle\ADV1299BU.mp4;"ADV1299BU - Employing a CPA How Cloud Pod Architecture Redefines DR and Experiences.mp4"
E:\eagle\ADV1300BU.mp4;"ADV1300BU - One Is Not Enough Multi-Cloud Deployments Enhance Colleague Experiences.mp4"
E:\eagle\ADV1313BU.mp4;"ADV1313BU - NSX-T and Horizon Better Security and Performance for VDI.mp4"
E:\eagle\ADV1322BU.mp4;"ADV1322BU - How to Template a Non-Persistent VDI Solution for Your Enterprise.mp4"
E:\eagle\ADV1337BU.mp4;"ADV1337BU - Beyond the Marketing What's New in Horizon 7.mp4"
E:\eagle\ADV1483BU.mp4;"ADV1483BU - Free Your Horizon to Soar in the Clouds.mp4"
E:\eagle\ADV1581BU.mp4;"ADV1581BU - The Latest and Greatest with VMware Blast Extreme.mp4"
E:\eagle\ADV1583BU.mp4;"ADV1583BU - Horizon Cloud Services Reduce Cost and Complexity in Horizon Deployments.mp4"
E:\eagle\ADV1640BU.mp4;"ADV1640BU - New era of Desktop and App-as-a-Service with VMware and Microsoft Windows Virtual Desktop.mp4"
E:\eagle\ADV1761BU.mp4;"ADV1761BU - Zero Trust Security with Horizon.mp4"
E:\eagle\ADV1798BU.mp4;"ADV1798BU - Unified Access Gateway Securing Virtual Desktop and App Access.mp4"
E:\eagle\ADV1819BU.mp4;"ADV1819BU - Increase IT Efficiency with a Tailored Application Deployment Strategy.mp4"
E:\eagle\ADV1954BU.mp4;"ADV1954BU - Facing the Top 10 Villains of Horizon Cloud.mp4"
E:\eagle\ADV2243BU.mp4;"ADV2243BU - Horizon 7 with VMware Cloud on AWS Deployment Architectures.mp4"
E:\eagle\ADV2272BU.mp4;"ADV2272BU - The (Not So) Dark Art of Application Packaging and Profiling.mp4"
E:\eagle\ADV2485BU.mp4;"ADV2485BU - VMware EUC as a Force for Good.mp4"
E:\eagle\ADV2511BU.mp4;"ADV2511BU - Horizon Delivery Models A Modernized Approach to Desktops and Apps.mp4"
E:\eagle\ADV2549BU.mp4;"ADV2549BU - Horizon and NSX - A Match made in Heaven.mp4"
E:\eagle\ADV2668BU.mp4;"ADV2668BU - Comprehensive architectural overview and deep-dive troubleshooting on UAG.mp4"
E:\eagle\ADV2808BU.mp4;"ADV2808BU - Horizon Disaster Recovery and Cloud Burst to VMware Cloud on AWS A Case Study.mp4"
E:\eagle\ADV2902BU.mp4;"ADV2902BU - Horizon View Upgrades A Relaxing Experience.mp4"
E:\eagle\ADV3037BU.mp4;"ADV3037BU - JMP The Easy Button for Delivering Virtual Desktops and Apps from Cloud.mp4"
E:\eagle\ADV3410BUS.mp4;"ADV3410BUS - Size and Configure Horizon to support Professional Graphics Applications.mp4"
E:\eagle\ADV3758BUS.mp4;"ADV3758BUS - Case Study How Memorial Hermann Transformed Their End-User Computing Experience.mp4"
E:\eagle\ADV5151BU.mp4;"ADV5151BU - Increasing Business Agility with Citrix VDI with VMware Cloud on AWS.mp4"
E:\eagle\BCA1117BU.mp4;"BCA1117BU - A Journey of Oracle Workloads from On-Premises to VMware Cloud on AWS.mp4"
E:\eagle\BCA1181BU.mp4;"BCA1181BU - Monitor All the Things Application Monitoring with vRealize Operations.mp4"
E:\eagle\BCA1257BU.mp4;"BCA1257BU - Keys to Successful SQL Server Availability Deployments with vSphere.mp4"
E:\eagle\BCA1292BU.mp4;"BCA1292BU - Multi-Cloud Application Platforms for Infrastructure Engineers.mp4"
E:\eagle\BCA1332BU.mp4;"BCA1332BU - The Different Forms of Machine Learning How They Fit with VMware.mp4"
E:\eagle\BCA1393BU.mp4;"BCA1393BU - SAP HANA on vSphere 6.7u2 and 2nd Generation IntelXeonScalable Processor Best Practices.mp4"
E:\eagle\BCA1430BU.mp4;"BCA1430BU - Accelerating Application/Database Performance in the Self-Learning SDDC.mp4"
E:\eagle\BCA1482BU.mp4;"BCA1482BU - Extreme Performance Series SQL Server, Oracle, and SAP Monster DB VMs.mp4"
E:\eagle\BCA1542BU.mp4;"BCA1542BU - SQL Server Workloads on VMware vSphere Configuration Recommendations.mp4"
E:\eagle\BCA1563BU.mp4;"BCA1563BU - High-Performance Virtualized Spark Clusters on Kubernetes for Deep Learning.mp4"
E:\eagle\BCA1668BU.mp4;"BCA1668BU - My Application Is Timing Out. Dont Blame the Oracle DBA..mp4"
E:\eagle\BCA1697BU.mp4;"BCA1697BU - Virtualize Your Organization's Research and Science Workloads How and Why.mp4"
E:\eagle\BCA1901BU.mp4;"BCA1901BU - SGX Secure Enclaves The Future of Application Security in the Cloud.mp4"
E:\eagle\BCA2058BU.mp4;"BCA2058BU - VMware SDDC An Ideal Platform for Running High-Performance Computing.mp4"
E:\eagle\BCA2082BU.mp4;"BCA2082BU - Virtualize Active Directory the Right Way.mp4"
E:\eagle\BCA2087BU.mp4;"BCA2087BU - How to Optimize the VMware Support Experience.mp4"
E:\eagle\BCA2149BU.mp4;"BCA2149BU - VM Performance Demystified and Best Practices to Optimize.mp4"
E:\eagle\BCA2290BU.mp4;"BCA2290BU - Heard about Mars v. Oraclexplore Oracle Audits with Experts, Attorneys.mp4"
E:\eagle\BCA2533BU.mp4;"BCA2533BU - Licensing Oracle and SQL Server on vSphere.mp4"
E:\eagle\BCA2626BU.mp4;"BCA2626BU - Elastic AI Infrastructure on vSphere Virtual GPU and FPGA with Bitfusion.mp4"
E:\eagle\BCA2630BU.mp4;"BCA2630BU - Migrate Oracle Unix to Virtual Linux LicenseFortress Assures Compliance.mp4"
E:\eagle\BCA2737BU.mp4;"BCA2737BU - Running SAP Workloads on VMware Cloud on AWS.mp4"
E:\eagle\BCA2740BU.mp4;"BCA2740BU - SAP HANA on vSphere, vSAN, VMware Cloud Roadmap and Certification Strategy.mp4"
E:\eagle\BCA2780BU.mp4;"BCA2780BU - Running with Zero Downtime, Zero Data Loss vSphere Fault Tolerance.mp4"
E:\eagle\BCA2800BU.mp4;"BCA2800BU - Automating Cloud Solutions for SAP.mp4"
E:\eagle\BCA2861BU.mp4;"BCA2861BU - Supporting SQL Server Failover Cluster Instances Without Those Pesky RDMs.mp4"
E:\eagle\BCA3199BU.mp4;"BCA3199BU - Scottish Government Virtualizes Critical Legacy Apps in VMware Cloud on AWS.mp4"
E:\eagle\CNET1028BU.mp4;"CNET1028BU - Demystifying the NSX-T Control and Data Plane.mp4"
E:\eagle\CNET1033BU.mp4;"CNET1033BU - Introduction to NSX Service Mesh.mp4"
E:\eagle\CNET1069BU.mp4;"CNET1069BU - NSX-T Deep Dive Layer 3 Routing.mp4"
E:\eagle\CNET1072BU.mp4;"CNET1072BU - NSX-T Design for Small to Mid-Sized Data Centers.mp4"
E:\eagle\CNET1100BU.mp4;"CNET1100BU - NSX-T for Service Providers Functionality, Technology, Use Cases.mp4"
E:\eagle\CNET1219BU.mp4;"CNET1219BU - VMware Cloud on AWS NSX-T Networking and Security Deep Dive.mp4"
E:\eagle\CNET1243BU.mp4;"CNET1243BU - NSX-T Deep Dive Performance.mp4"
E:\eagle\CNET1244BU.mp4;"CNET1244BU - NSX-T Design for Pivotal Application Service (PAS).mp4"
E:\eagle\CNET1251BU.mp4;"CNET1251BU - NSX-T Install, Upgrade and Day 2 Operations.mp4"
E:\eagle\CNET1270BU.mp4;"CNET1270BU - NSX-T Deep Dive Kubernetes Networking.mp4"
E:\eagle\CNET1296BU.mp4;"CNET1296BU - The Future of Networking with NSX.mp4"
E:\eagle\CNET1334BU.mp4;"CNET1334BU - NSX-T Design for Multi-Site Networking and Disaster Recovery.mp4"
E:\eagle\CNET1356BU.mp4;"CNET1356BU - NSX-T Deep Dive Load Balancing.mp4"
E:\eagle\CNET1365BU.mp4;"CNET1365BU - NSX Cloud Deployment and Architecture Deep Dive.mp4"
E:\eagle\CNET1444BU.mp4;"CNET1444BU - Lessons Learned Deploying OpenShift with VMware SDDC.mp4"
E:\eagle\CNET1474BU.mp4;"CNET1474BU - NSX and Cisco ACI Running Your SDDC on a Cisco Underlay.mp4"
E:\eagle\CNET1498BU.mp4;"CNET1498BU - Transitioning from NSX for vSphere to NSX-T.mp4"
E:\eagle\CNET1511BU.mp4;"CNET1511BU - NSX-T Deep Dive Logical Switching.mp4"
E:\eagle\CNET1575BU.mp4;"CNET1575BU - Introduction to VMware NSX.mp4"
E:\eagle\CNET1579BU.mp4;"CNET1579BU - Digital Transformation with NSX SDDC Quantifying ROI with Data.mp4"
E:\eagle\CNET1582BU.mp4;"CNET1582BU - Extend Your Network and Security to AWS, Azure, and IBM Cloud.mp4"
E:\eagle\CNET1600BU.mp4;"CNET1600BU - NSX Cloud Consistently Extend NSX to AWS and Azure.mp4"
E:\eagle\CNET1692BU.mp4;"CNET1692BU - What's New with vRealize Network Insight (vRNI).mp4"
E:\eagle\CNET1908BU.mp4;"CNET1908BU - NSX-T Design for VMware Validated Designs and VMware Cloud Foundation.mp4"
E:\eagle\CNET1909BU.mp4;"CNET1909BU - NSX-T Deep Dive Policy API.mp4"
E:\eagle\CNET1960BU.mp4;"CNET1960BU - Network Insight Optimize and troubleshoot apps across NSX DC and SD-WAN.mp4"
E:\eagle\CNET2061BU.mp4;"CNET2061BU - Next-Generation Reference Design with NSX-T Part 1.mp4"
E:\eagle\CNET2067BU.mp4;"CNET2067BU - VMware Cloud with NSX on AWS, Dell EMC, and AWS Outposts.mp4"
E:\eagle\CNET2068BU.mp4;"CNET2068BU - Next Generation Reference Design with NSX-T, Part 2.mp4"
E:\eagle\CNET2141BU.mp4;"CNET2141BU - HCX - Automating Workload Migration for Data Centers and Clouds.mp4"
E:\eagle\CNET2406BU.mp4;"CNET2406BU - NSX-T Design and Operations for PKS.mp4"
E:\eagle\CNET2503BU.mp4;"CNET2503BU - Overview of Network Automation with NSX-T.mp4"
E:\eagle\CNET2520BU.mp4;"CNET2520BU - Hybrid Cloud and Multi-Cloud Networking with NSX.mp4"
E:\eagle\CNET2588BU.mp4;"CNET2588BU - Network Automation with NSX-T and vRealize Automation.mp4"
E:\eagle\CNET2604BU.mp4;"CNET2604BU - Introduction to Container Networking.mp4"
E:\eagle\CNET2648BU.mp4;"CNET2648BU - NSX-T Deep Dive Automation from Install to Operations.mp4"
E:\eagle\CNET2650BU.mp4;"CNET2650BU - Virtual Networking Across Data Centers and Clouds with NSX.mp4"
E:\eagle\CNET2758BU.mp4;"CNET2758BU - A Walk-Through of the New NSX-T GUI.mp4"
E:\eagle\CNET2868BU.mp4;"CNET2868BU - Why the Rise of DevOps and DevSecOps Mandate Network Virtualization.mp4"
E:\eagle\CNET3048BU.mp4;"CNET3048BU - NSX-T Operations and Troubleshooting.mp4"
E:\eagle\CNET3380BU.mp4;"CNET3380BU - Using NSX-T to Modernize Your IT Infrastructure by IBM.mp4"
E:\eagle\CNET3628BUS.mp4;"CNET3628BUS - Edge to Hybrid Cloud, the Network Matters.mp4"
E:\eagle\CNET3671BU.mp4;"CNET3671BU - Modern Load Balancing 101.mp4"
E:\eagle\CNET3672BU.mp4;"CNET3672BU - Deep Automation and Self-service for Application Delivery.mp4"
E:\eagle\CNET3674BU.mp4;"CNET3674BU - Consistent Load Balancing for Multi-Cloud Environments.mp4"
E:\eagle\CNET4116BU.mp4;"CNET4116BU - The future of SD-WAN and SDN  Co-engineered by Dell EMC & VMware.mp4"
E:\eagle\CNET5669BUS.mp4;"CNET5669BUS - NETSCOUT ASI for Visibility & Troubleshooting into Applications with NSX-T.mp4"
E:\eagle\CNET5670BUS.mp4;"CNET5670BUS - Application Visibility & Troubleshooting the Virtual Cloud Network and NSX.mp4"
E:\eagle\CODE1151UR.mp4;"CODE1151UR - Build Your First Kubernetes Cluster on vSphere with Kubeadm.mp4"
E:\eagle\CODE1152U.mp4;"CODE1152U - Deploying Kubernetes Apps on PKS Using Native Tools, Helm, and Operators.mp4"
E:\eagle\CODE1156U.mp4;"CODE1156U - Applying Blockchain to Applications Where and How.mp4"
E:\eagle\CODE1162U.mp4;"CODE1162U - Build Cloud Native Applications the Kubernetes Way The Lessons We Learned.mp4"
E:\eagle\CODE1166U.mp4;"CODE1166U - How We Utilize Cluster API to Deliver Kubernetes on Multiple Providers.mp4"
E:\eagle\CODE1172UR.mp4;"CODE1172UR - The Genius of Kubernetes.mp4"
E:\eagle\CODE1178U.mp4;"CODE1178U - Make a Kubernetes App Publicly Accessible Load Balancer vs. Ingress.mp4"
E:\eagle\CODE1202U.mp4;"CODE1202U - Hands on with Microservices and Service Mesh on VMware PKS.mp4"
E:\eagle\CODE1316UR.mp4;"CODE1316UR - Horizon 7 Automation 101 How to Get Started with the Horizon API.mp4"
E:\eagle\CODE1360U.mp4;"CODE1360U - Kubernetes Operators for VMware Enterprise PKS and VMware Cloud PKS.mp4"
E:\eagle\CODE1369U.mp4;"CODE1369U - Cloud Native Storage Persistence for Stateful Apps.mp4"
E:\eagle\CODE1379UR.mp4;"CODE1379UR - ""If This Then That"" for vSphere - The Power of Event-Driven Automation.mp4"
E:\eagle\CODE1458U.mp4;"CODE1458U - Using VMware EUC APIs for Automation from a Fling Engineer.mp4"
E:\eagle\CODE1567U.mp4;"CODE1567U - Getting Started with VMware {code} Unified Endpoint Management Samples.mp4"
E:\eagle\CODE1569U.mp4;"CODE1569U - How to Create Custom Auto-Remediation and Rules in VMware Secure State.mp4"
E:\eagle\CODE1617UR.mp4;"CODE1617UR - NSX Automation with Ansible A Complete Guide for Day 0 Operations.mp4"
E:\eagle\CODE1635U.mp4;"CODE1635U - How Support and Feature Requests Work in Open-Source Projects (Kubernetes).mp4"
E:\eagle\CODE1696U.mp4;"CODE1696U - Automating vRealize Network Insight with PowerShell and Python.mp4"
E:\eagle\CODE1716U.mp4;"CODE1716U - DevOps Lessons at the Edge for Cloud Architects.mp4"
E:\eagle\CODE1725U.mp4;"CODE1725U - Your Kubernetes Cluster, Namespaces, and You.mp4"
E:\eagle\CODE1785U.mp4;"CODE1785U - Using AWS Lambda Functions for Multi-Cloud Governance.mp4"
E:\eagle\CODE1797U.mp4;"CODE1797U - Getting Started with Boto3, the AWS SDK for Python.mp4"
E:\eagle\CODE1804U.mp4;"CODE1804U - Zero to App Building Your First Application in Kubernetes.mp4"
E:\eagle\CODE1817UR.mp4;"CODE1817UR - Automating vCenter Server Appliance Update Lifecycle with APIs and PowerCLI.mp4"
E:\eagle\CODE1916U.mp4;"CODE1916U - VI Admin's Guide CNA and 12 Factors to Run and Manage Apps on PKS.mp4"
E:\eagle\CODE1992U.mp4;"CODE1992U - Simplifying Operations by Advancing Your Network with VMware SD-WAN.mp4"
E:\eagle\CODE2007U.mp4;"CODE2007U - An Essential Guide to Modernizing Windows-Based Workloads into Containers.mp4"
E:\eagle\CODE2214U.mp4;"CODE2214U - How PowerCLI Makes vSphere Configuration Management Easy.mp4"
E:\eagle\CODE2215U.mp4;"CODE2215U - Deep Dive on VMware Cloud on AWS APIs for Automation.mp4"
E:\eagle\CODE2216U.mp4;"CODE2216U - The Art of Code That Writes Code.mp4"
E:\eagle\CODE2219U.mp4;"CODE2219U - Python 101 for the vAdmin.mp4"
E:\eagle\CODE2394U.mp4;"CODE2394U - Hybrid Cloud Configuration and Day-to-Day Operations the API/CLI Way.mp4"
E:\eagle\CODE2484U.mp4;"CODE2484U - Rolling out vRealize Orchestrator Content with Git and Concourse.mp4"
E:\eagle\CODE2544U.mp4;"CODE2544U - Program NSX-T Network and Security Using Python/Java.mp4"
E:\eagle\CODE2639U.mp4;"CODE2639U - Application Lifecycle with Kubernetes and Cloud Automation Services.mp4"
E:\eagle\CODE2649U.mp4;"CODE2649U - How PowerCLI Gives Day 1 Access to the Latest VMware APIs.mp4"
E:\eagle\CODE2672U.mp4;"CODE2672U - Understanding Your Kubernetes Cluster.mp4"
E:\eagle\CODE2717U.mp4;"CODE2717U - DevOps in Real Time More Secure, Automatic Cloud Native App Updates with NSX and Bitnami.mp4"
E:\eagle\CODE2796U.mp4;"CODE2796U - Creating Your First Augmented Reality or Virtual Reality App.mp4"
E:\eagle\CODE2807U.mp4;"CODE2807U - Application Performance Management with Wavefront and a PKS Application.mp4"
E:\eagle\CODE2995U.mp4;"CODE2995U - Demystifying Istio and Envoy.mp4"
E:\eagle\CODE3057U.mp4;"CODE3057U - Be the Ninja Jump-Start into Containers and Kubernetes for IT Ops.mp4"
E:\eagle\CODE3059U.mp4;"CODE3059U - Use NSX-SM and Consul Connect to Federate Kubernetes and AWS EC2 Workloads.mp4"
E:\eagle\CODE3326U.mp4;"CODE3326U - Building and Controlling Modern REST APIs with OpenAPI and Kong.mp4"
E:\eagle\CODE3327U.mp4;"CODE3327U - Getting Started with Terraform and Ansible.mp4"
E:\eagle\CODE3328U.mp4;"CODE3328U - Kubernetes on AWS, You Dont Need a PHD to Deploy and Manage.mp4"
E:\eagle\CODE3330U.mp4;"CODE3330U - Automating Builds and Deployments, aka CI/CD for Dummies.mp4"
E:\eagle\CODE3331U.mp4;"CODE3331U - Machine Learning in Less Than 1 Hour with Python.mp4"
E:\eagle\CODE3332U.mp4;"CODE3332U - The Circle of (Token) Life.mp4"
E:\eagle\CODE3333U.mp4;"CODE3333U - Save the IT Department Add the Development Platform to Your Portfolio.mp4"
E:\eagle\CODE3452U.mp4;"CODE3452U - How to not go broke with CI/CD deployments.mp4"
E:\eagle\CODE3453U.mp4;"CODE3453U - The Fundamentals of Automating Software Delivery with Spinnaker.mp4"
E:\eagle\CODE3454U.mp4;"CODE3454U - Why and How Spinnaker and Kubernetes Work Together Seamlessly.mp4"
E:\eagle\CODE3455U.mp4;"CODE3455U - Deploying an OpenShift Cluster with VMware Cloud Assembly.mp4"
E:\eagle\CODE3457U.mp4;"CODE3457U - Achieving predictable response time for micro service based applications.mp4"
E:\eagle\CODE3458U.mp4;"CODE3458U - Achieving predictable response time for micro service based applications.mp4"
E:\eagle\CODE4840U.mp4;"CODE4840U - Continuous Verification The Missing Link to Fully Automate Your Pipeline.mp4"
E:\eagle\DEE1020BU.mp4;"DEE1020BU - How to Architect VMware Identity Manager.mp4"
E:\eagle\DEE1807BU.mp4;"DEE1807BU - Streamline Your Mobile App Development Lifecycle with the Workspace ONE SDK.mp4"
E:\eagle\DEE2023BU.mp4;"DEE2023BU - Workspace ONE and Azure AD Integration Deep Dive from the Trenches.mp4"
E:\eagle\DEE2174BU.mp4;"DEE2174BU - Best Practices to Succeed in Your Digital Workplace Project.mp4"
E:\eagle\DEE2294BU.mp4;"DEE2294BU - Zero Trust  Easily achieved with Workspace ONE Access (formerly Identity Manager).mp4"
E:\eagle\DEE2301BU.mp4;"DEE2301BU - Whats New Revolutionize Employee Productivity with Mobile Flows and Intelligent Hub.mp4"
E:\eagle\DEE2391BU.mp4;"DEE2391BU - Enable the Full Workspace ONE Intelligent Hub Experience to Drive Digital Transformation.mp4"
E:\eagle\DEE2495BU.mp4;"DEE2495BU - Enabling strong authentication for Workspace ONE Improve security and user experience.mp4"
E:\eagle\DEE2774BU.mp4;"DEE2774BU - Demystifying Enterprise Apps Secure Deployment, Access, and Management.mp4"
E:\eagle\DEE2965BU.mp4;"DEE2965BU - How to use Workspace ONE to transform your Employee Experience from Onboarding all the way to Offboarding.mp4"
E:\eagle\DEE3015BU.mp4;"DEE3015BU - Enabling AI-Powered Workspace ONE Digital Assistant in Intelligent Hub.mp4"
E:\eagle\DEE3022BU.mp4;"DEE3022BU - What's New with Workspace ONE Boxer, Web, Notebook, and Content.mp4"
E:\eagle\DEE3094BU.mp4;"DEE3094BU - A Customer Success-Driven Blueprint for Workspace ONE Adoption.mp4"
E:\eagle\DW3459KU.mp4;"DW3459KU - Showcase Keynote Becoming a Champion of Digital Employee Experience.mp4"
E:\eagle\EIOT2688BU.mp4;"EIOT2688BU - Chitale VMware Pulse IoT Center Automates a Leading Dairy Factory in India.mp4"
E:\eagle\EIOT2715BU.mp4;"EIOT2715BU - Edge Computing Innovations in Office of the CTO and Dell Technologies.mp4"
E:\eagle\EIOT2750BU.mp4;"EIOT2750BU - Extend Your Hybrid Cloud Strategy to the Edge with VMware Edge Solutions.mp4"
E:\eagle\EIOT3138BU.mp4;"EIOT3138BU - Introducing Pulse IoT Center 2.0.mp4"
E:\eagle\EIOT3144BU.mp4;"EIOT3144BU - How to Drive Measurable Business Value with IoT.mp4"
E:\eagle\EIOT3152BU.mp4;"EIOT3152BU - Unlocking Business Value with the Unified Management of OT and IT.mp4"
E:\eagle\EIOT3162BU.mp4;"EIOT3162BU - Living on the Edge A Day in the Life of an IoT Device.mp4"
E:\eagle\EIOT3170BU.mp4;"EIOT3170BU - Bring IT Security Standards to IoT and Edge with VMware and Forescout.mp4"
E:\eagle\EIOT3399BU.mp4;"EIOT3399BU - Secure Edge Systems and IoT Devices with VMware and Intel.mp4"
E:\eagle\HBI1027BU.mp4;"HBI1027BU - VMware Cloud Foundation on VxRail Accelerate Your Path to Hybrid Cloud.mp4"
E:\eagle\HBI1038BU.mp4;"HBI1038BU - Deploy and Maintain K8s Infrastructure with PKS on VMware Cloud Foundation.mp4"
E:\eagle\HBI1140BU.mp4;"HBI1140BU - Power Composable Hybrid Cloud with VMware Cloud Foundation on PowerEdge MX.mp4"
E:\eagle\HBI1223BU.mp4;"HBI1223BU - VMware Cloud on AWS Networking and Security Design.mp4"
E:\eagle\HBI1229BU.mp4;"HBI1229BU - Zero to DR in 60 Minutes VMware Site Recovery DRaaS Technical Deep Dive.mp4"
E:\eagle\HBI1259BU.mp4;"HBI1259BU - Accelerate VMware Cloud Foundation with VMware Cloud Builder.mp4"
E:\eagle\HBI1285BU.mp4;"HBI1285BU - Unraveling Fear, Uncertainty and Doubt in Cloud Economic Decision Risk.mp4"
E:\eagle\HBI1286BU.mp4;"HBI1286BU - VMware Cloud Foundation on VxRail The Simplest Path to Hybrid Cloud.mp4"
E:\eagle\HBI1314BU.mp4;"HBI1314BU - HM Health Solutions' Journey to a Secure Healthcare Cloud.mp4"
E:\eagle\HBI1321BU.mp4;"HBI1321BU - Building a Modern Cloud Hosting platform on VMware Cloud Foundation with VMware vCloud Director.mp4"
E:\eagle\HBI1338BU.mp4;"HBI1338BU - BYOA and Consuming Cloud Provider Container Services.mp4"
E:\eagle\HBI1359BU.mp4;"HBI1359BU - VMware and Runecast Next-Gen Troubleshooting Through the vSphere Client UI.mp4"
E:\eagle\HBI1395BU.mp4;"HBI1395BU - Hybrid Cloud State of the Union.mp4"
E:\eagle\HBI1396BU.mp4;"HBI1396BU - VMware Cloud Services Architecture.mp4"
E:\eagle\HBI1400BU.mp4;"HBI1400BU - Horizon on VMware Cloud Foundation A Turnkey SDDC Solution for VDI.mp4"
E:\eagle\HBI1402BU.mp4;"HBI1402BU - VMware Cloud on AWS Deploying a SaaS Platform Globally.mp4"
E:\eagle\HBI1414BU.mp4;"HBI1414BU - VMware Cloud on AWS SDDC Lifecycle Management and Customer Experience.mp4"
E:\eagle\HBI1421BU.mp4;"HBI1421BU - Innovations in vMotion Features, Performance, and Best Practices.mp4"
E:\eagle\HBI1428BU.mp4;"HBI1428BU - VMware Cloud on Dell EMC Technical Overview.mp4"
E:\eagle\HBI1432BUR.mp4;"HBI1432BUR - VMware Cloud Foundation Strategy, Capabilities, and Technology Direction.mp4"
E:\eagle\HBI1448BU.mp4;"HBI1448BU - VMware Cloud Foundation and vRealize Suite Better Together.mp4"
E:\eagle\HBI1462BU.mp4;"HBI1462BU - Planning for a Successful vSphere Upgrade.mp4"
E:\eagle\HBI1463BU.mp4;"HBI1463BU - VMware Cloud on AWS Advanced Automation Techniques.mp4"
